forks,watchers,contributors,commits,branches,open_issues,closed_issues,open_prs,closed_prs,size,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,stargazers
979,219,108,2200,49,491,1256,18,385,16238,Go,True,True,True,False,False,9473
1301,210,193,1514,44,215,1894,17,909,8488,Java,True,True,True,False,True,9473
2362,400,399,15565,107,434,6239,92,4523,70893,C,True,True,True,False,True,9472
2325,427,257,2206,3,32,2176,5,815,41186,C#,True,True,True,False,False,9472
2059,161,8,103,1,292,385,19,25,539,Python,True,True,True,True,False,9470
3856,664,96,2882,29,942,1997,15,1207,19570,Java,True,True,True,True,False,9468
1215,94,20,214,13,124,180,6,96,145223,Jupyter Notebook,True,True,True,True,True,9467
1204,153,83,1788,3,7,1185,3,763,9582,Go,True,True,True,True,False,9465
593,394,21,139,1,6,33,2,30,122,,True,True,True,True,False,9460
1677,376,62,1665,9,77,634,10,196,189804,PowerShell,True,True,True,True,False,9460
1323,143,5,46,1,113,92,3,9,3988,Jupyter Notebook,True,True,True,True,False,9458
679,99,104,504,5,67,653,7,255,3626,Go,True,False,True,False,False,9457
986,120,66,368,2,440,369,32,151,24060,Python,True,True,True,False,False,9455
3292,194,367,8629,12,27,8203,21,4432,14529,Ruby,True,True,False,True,True,9455
1622,414,1,4,5,104,161,9,39,176712,,True,True,True,True,True,9452
2009,580,30,222,1,35,59,9,43,518,Go,True,True,True,True,False,9451
572,77,91,511,3,343,1189,48,230,826,Vim Script,True,True,True,False,False,9447
743,240,5,8,1,3,12,0,5,27,,True,False,True,False,False,9445
862,275,100,1127,8,287,966,35,287,6432,JavaScript,True,True,True,True,True,9442
213,44,32,2560,24,48,903,18,862,51800,Go,True,True,True,True,False,9440
5297,411,309,113274,54,0,191,0,191,556217,C,False,True,True,False,False,9440
2069,438,134,4478,6,79,2973,2,912,22895,JavaScript,True,True,True,True,True,9438
1426,270,8,45,2,85,126,12,20,407,Python,True,True,True,False,False,9438
7986,963,5,197,14,142,1251,29,229,50863,JavaScript,True,True,True,False,False,9437
421,71,110,1958,2,30,1177,6,711,2111,Shell,True,True,True,True,False,9437
7231,3198,7,308,26,3,93,2,26,4487,TypeScript,True,True,True,True,False,9434
396,80,48,1413,95,451,1548,9,1124,32810,Go,True,True,True,True,False,9428
1639,536,1,81,1,9,2,1,0,99,,True,True,True,True,False,9428
596,144,189,5255,28,141,1222,39,665,93968,C++,True,True,True,False,True,9428
1780,228,46,1121,18,120,412,11,231,5730,C#,True,False,True,False,True,9422
1444,291,15,363,4,227,180,24,78,32885,JavaScript,True,True,True,True,True,9421
2012,261,158,16659,3,478,4996,1,2322,131606,C,True,True,True,True,False,9419
749,110,60,1517,6,94,799,9,255,4635,Swift,True,False,True,False,False,9416
1375,347,133,575,11,2,702,2,604,803,Ruby,True,False,True,False,False,9416
794,220,126,2009,3,14,3333,7,2142,39675,Go,True,False,True,False,True,9412
872,105,209,3229,20,261,3320,15,1769,205061,Python,True,True,True,True,True,9410
921,262,165,1902,19,163,2019,10,1165,6925,Python,True,True,True,True,False,9409
1006,167,343,25055,39,1185,6479,94,2109,62724,Python,True,True,True,False,False,9407
2303,443,5,12978,2,851,1661,252,587,109317,C,True,True,True,False,False,9405
850,118,103,1334,12,18,2016,7,888,9508,D,True,False,True,True,True,9399
403,143,38,659,5,53,442,8,186,1563,JavaScript,True,True,True,True,True,9397
569,100,180,2488,24,303,2098,40,1551,9585,Rust,True,True,True,True,True,9397
3467,922,109,3512,5,126,1164,2,628,11945,Java,True,True,True,True,False,9394
1653,255,235,1790,4,83,1807,15,975,2622,Ruby,True,True,False,True,False,9392
